# If using '#' or the data(line) cannot be divided into 3, it wouldn't be included
# The valid data must consist of string divided into 3 without '#'

# Data : [start node] [end node] [weight(int, sec)] [(optional) two-way]
# Node : Building-Floor-Entity
# Entity : {room(only decimal), elevator(E prefixed),
#           stair(S), exit(X), hall way(H)}

# A (B) C D G H I J P R

G-4-H1 G-4-H4 2 t
G-4-H4 G-4-33 1 t
G-4-H4 G-4-32 3 t
G-4-H4 G-4-25 3 t
G-4-H4 G-4-31 6 t
G-4-H4 G-4-26 6 t
G-4-H4 G-4-30 7 t
G-4-H4 G-4-27 7 t
G-4-H4 G-4-29 11 t
G-4-H4 G-4-28 11 t
G-4-H2 G-4-1 1 t
G-4-H2 G-4-2 2 t
G-4-H2 G-4-3 6 t
G-4-H2 G-4-4 8 t
G-4-H2 G-4-17 8 t
G-4-H2 G-4-5 12 t
G-4-H2 G-4-16 12 t
G-4-H2 G-4-6 14 t
G-4-H2 G-4-15 14 t
G-4-H2 G-4-7 18 t
G-4-H2 G-4-14 18 t
G-4-H2 G-4-8 20 t
G-4-H2 G-4-13 20 t
G-4-H2 G-4-9 24 t
G-4-H2 G-4-12 24 t
G-4-H2 G-4-10 26 t
G-4-H2 G-4-11 30 t
G-4-H1 G-4-18 4 t
G-4-H1 G-4-19 8 t
G-4-H1 G-4-22 8 t
G-4-H1 G-4-20 10 t
G-4-H1 G-4-21 14 t
G-4-H1 G-4-H3 16 t
G-4-S2 G-4-H1 13 t
G-4-S2 G-4-H3 8 t
G-4-H3 G-4-X1 3 t
G-4-H3 G-4-X2 4 t
G-4-H3 G-4-X3 3 t
	#5층
G-5-S1 H-3-H1 5 t
G-5-S1 G-5-H2 4 t
H-3-H1 G-5-H2 3 t
G-5-H2 G-5-10 1 t
G-5-H2 G-5-15 3 t
G-5-H2 G-5-10 6 t
H-3-H1 G-5-14 4 t
H-3-H1 H-2-H1 8 t
G-5-S2 H-3-H1 8 t
G-5-S2 H-2-H1 6 t
H-2-H1 H-5-1 4 t
	#6층
G-6-S1 H-3-H1 4 t
G-6-S1 G-6-H2 4 t
H-3-H1 G-6-H2 4 t
H-3-H1 G-6-1 3 t
H-3-H1 G-6-2 3 t
G-6-H2 G-6-4 3 t
G-6-H2 G-6-5 6 t
G-6-H2 G-6-6 9 t
H-3-H1 H-6-H1 9 t
G-6-S2 H-3-H1 9 t
G-6-S2 H-6-H1 7 t

#H동
#수직적 이동
	#계단
H-1-S1 H-2-S1 15
H-2-S1 H-1-S1 10
H-2-S1 H-3-S1 15
H-3-S1 H-2-S1 10
H-1-S2 H-2-S2 15
H-2-S2 H-1-S2 10
H-2-S2 H-3-S2 15
H-3-S2 H-2-S2 10
	#엘리베이터
#수평적 이동
#1층
G-4-X3 H-1-S1 3 t
#2층
H-2-H1 H-2-S1 7 t
H-2-S1 H-2-1 1 t
H-2-S2 H-2-1 1 t
H-2-H1 H-2-2 3 t
H-2-H1 H-2-3 1 t
H-2-H1 H-2-4 9 t
H-2-H1 H-2-5 2 t
H-2-H1 H-2-6 4 t
#3층
H-3-S1 H-3-1 2 t
H-3-S2 H-3-1 2 t
H-3-S1 H-3-H1 7 t
H-3-H1 H-3-5 4 t
H-3-H1 H-3-4 1 t
H-3-H1 H-3-6 1 t
H-3-H1 H-3-S2 5 t
H-3-H1 G-6-H1 7 t

# Building I

# Floor 6
I-6-H2 I-6-S1 5 t
I-6-H2 I-6-H1 5 t
I-6-H2 I-6-H3 10 t
I-6-H3 I-6-H4 2 t
I-6-H4 I-6-X1 2 t

I-6-5 I-6-H1 1 t
I-6-3 I-6-H1 1 t
I-6-2 I-6-H1 1 t
I-6-1 I-6-H1 1 t
I-6-6 I-6-H2 1 t
I-6-7 I-6-H2 1 t
I-6-14 I-6-H2 1 t
I-6-8 I-6-H3 1 t
I-6-15 I-6-H4 1 t
I-6-9 I-6-H3 1 t
I-6-10 I-6-H3 1 t
I-6-12 I-6-H4 1 t


# Floor 5
I-6-S1 I-5-S1 10 t
I-5-S1 I-5-H2 5 t
I-5-H2 I-5-H1 5 t
I-5-H2 I-5-H3 5 t
I-5-H3 I-5-H4 2 t
I-5-H4 I-5-X1 2 t

I-5-H1 I-5-5 1 t
I-5-H1 I-5-3 1 t
I-5-H1 I-5-2 1 t
I-5-H1 I-5-1 1 t
I-5-H2 I-5-6 1 t
I-5-H2 I-5-7 1 t
I-5-H2 I-5-14 1 t
I-5-H3 I-5-8 1 t
I-5-H3 I-5-15 1 t
I-5-H3 I-5-9 1 t
I-5-H3 I-5-10 1 t
I-5-H4 I-5-12 1 t



# Floor 4

I-5-S1 I-4-S1 10 t
I-4-S1 I-4-H2 5 t
I-4-H2 I-4-H1 5 t
I-4-H2 I-4-H3 10 t
I-4-H3 I-4-H4 2 t
I-4-H4 I-4-X1 2 t

I-4-H1 I-4-1 1 t
I-4-H1 I-4-3 1 t
I-4-H1 I-4-5 1 t
I-4-H1 I-4-6 1 t
I-4-H2 I-4-7 1 t
I-4-H2 I-4-8 1 t
I-4-H2 I-4-14 1 t
I-4-H3 I-4-9 1 t
I-4-H3 I-4-10 1 t
I-4-H3 I-4-13 1 t
I-4-H4 I-4-12 1 t


# Floor 3

I-4-S1 I-3-S1 10 t
I-3-S1 I-3-H2 5 t
I-3-H2 I-3-H1 5 t
I-3-H2 I-3-H3 10 t

I-3-H1 I-3-1 1 t
I-3-H1 I-3-2 1 t
I-3-H1 I-3-3 1 t
I-3-H1 I-3-5 1 t
I-3-H2 I-3-6 1 t
I-3-H2 I-3-13 1 t
I-3-H2 I-3-14 1 t
I-3-H3 I-3-7 1 t
I-3-H3 I-3-8 1 t
I-3-H3 I-3-9 1 t
I-3-H3 I-3-10 1 t
I-3-H3 I-3-11 1 t
I-3-H3 I-3-12 1 t

# Floor 2
I-3-S1 I-2-S1 10 t
I-2-S1 I-2-H2 5 t
I-2-H2 I-2-H1 5 t
I-2-H2 I-2-H3 10 t

I-2-H1 I-2-1 1 t
I-2-H1 I-2-2 1 t
I-2-H1 I-2-3 1 t
I-2-H1 I-2-4 1 t
I-2-H1 I-2-5 1 t
I-2-H1 I-2-6 1 t
I-2-H2 I-2-7 1 t
I-2-H2 I-2-13 1 t
I-2-H3 I-2-8 1 t
I-2-H3 I-2-10 1 t
I-2-H3 I-2-11 1 t
I-2-H3 I-2-12 1 t

# Floor 1
I-2-S1 I-1-S1 10 t
I-1-S1 I-1-H1 5 t
I-1-S1 I-1-X1 5 t
I-1-H1 I-1-H2 5 t

I-1-H1 I-1-1 1 t
I-1-H1 I-1-7 1 t
I-1-H2 I-1-8 1 t
I-1-H2 I-1-9 1 t

#J동
#지하2층(아무것도 없어서 버림)
#지하1층
J-B1-S1 J-1-S1 15
J-B1-S2 J-1-S2 15
J-1-S1 J-B1-S1 10
J-1-S2 J-B1-S2 10
J-B1-S1 J-B1-H1 2 t
J-B1-H1 J-B1-S2 2 t
J-B1-S2 J-B1-S3 2 t
J-B1-H1 J-B1-1 2 t
#1층
J-1-S1 J-2-S1 15
J-1-S2 J-2-S2 15
J-2-S1 J-1-S1 10
J-2-S2 J-1-S2 10
J-1-H1 J-1-S1 2 t
J-1-H1 J-1-S2 2 t
J-1-H1 J-1-1 2 t
J-1-H1 J-1-2 2 t
J-1-H1 J-1-3 2 t
J-1-H1 J-1-4 2 t
J-1-H1 J-1-X1 4 t
#2층
J-2-S1 J-3-S1 15
J-2-S2 J-3-S2 15
J-3-S1 J-2-S1 10
J-3-S2 J-2-S2 10
J-2-S1 J-2-H1 2 t
J-2-H1 J-2-S2 2 t
J-2-H1 J-2-1 2 t
J-2-H1 J-2-2 2 t
J-2-H1 J-2-3 2 t
J-2-H1 J-2-4 2 t
#3층
J-3-S1 J-3-H1 2 t
J-3-H1 J-3-1 2 t
J-3-H1 J-3-2 2 t
J-3-H1 J-3-3 2 t
J-3-H1 J-3-4 2 t

# Building K
#수직적 연결
	#계단
K-1-S1 K-2-S1 15
K-2-S1 K-1-S1 10

K-2-S1 K-3-S1 15
K-3-S1 K-2-S1 10

K-3-S1 K-4-S1 15
K-4-S1 K-3-S1 10

K-4-S1 K-5-S1 15
K-5-S1 K-4-S1 10

K-5-S1 K-6-S1 15
K-6-S1 K-5-S1 10

K-B1-S2 K-1-S2 15
K-1-S2 K-B1-S2 10

K-B1-S3 K-1-S3 15
K-1-S3 K-B1-S3 10
K-1-S3 K-2-S3 15
K-2-S3 K-1-S3 10

K-1-S4 K-2-S4 15
K-2-S4 K-1-S4 10

K-2-S4 K-3-S4 15
K-3-S4 K-2-S4 10

K-3-S4 K-4-S4 15
K-4-S4 K-3-S4 10

K-4-S4 K-5-S4 15
K-5-S4 K-4-S4 10

K-5-S4 K-6-S4 15
K-6-S4 K-5-S4 10

K-4-S5 K-5-S5 15
K-5-S5 K-4-S5 10

K-5-S5 K-6-S5 15
K-6-S5 K-5-S5 10

	#엘리베이터
K-1-E1 K-2-E1 10 t
K-2-E1 K-3-E1 10 t
K-3-E1 K-4-E1 10 t
K-4-E1 K-5-E1 10 t
K-5-E1 K-6-E1 10 t

#수평적 연결
	#지하1층
K-B1-S2 K-B1-H1 8 t
K-B1-S3 K-B1-H1 2 t
K-B1-18 K-B1-H1 5 t
K-B1-17 K-B1-H1 5 t
K-B1-16 K-B1-H1 4 t
K-B1-19 K-B1-H1 3 t
K-B1-19_1 K-B1-H1 2 t
K-B1-20 K-B1-H1 1 t
K-B1-21 K-B1-H1 2 t
K-B1-22 K-B1-H1 3 t
K-B1-23 K-B1-H1 4 t
K-B1-24 K-B1-H1 5 t
K-B1-25 K-B1-H1 5 t
K-B1-26 K-B1-H1 4 t
K-B1-11 K-B1-H1 3 t
K-B1-12 K-B1-H1 2 t
K-B1-13_1 K-B1-H1 1 t
K-B1-13_2 K-B1-H1 1 t
K-B1-14_1 K-B1-H1 2 t
K-B1-14_2 K-B1-14_1 1 t
K-B1-14_3 K-B1-14_2 1 t
K-B1-15_1 K-B1-H1 3 t
K-B1-15_2 K-B1-15_1 1 t
K-B1-15_3 K-B1-15_2 1 t

	#1층
K-1-E1 K-1-H5 1 t
K-1-S1 K-1-H1 1 t
K-1-S2 K-1-H3 1 t
K-1-S3 K-1-H4 1 t
K-1-S4 K-1-H7 1 t
K-1-H1 K-1-H2 1 t
K-1-H2 K-1-H3 1 t
K-1-H3 K-1-H4 9 t
K-1-H4 K-1-H5 5 t
K-1-H5 K-1-H6 1 t
K-1-H6 K-1-H7 1 t
K-1-X1 K-1-H1 1 t
K-1-X2 K-1-H7 1 t

K-1-16 K-1-H2 5 t
K-1-15 K-1-H2 3 t
K-1-18 K-1-H3 1 t
K-1-19 K-1-H3 2 t
K-1-20_1 K-1-H3 3 t
K-1-20_2 K-1-H3 4 t
K-1-23 K-1-H4 1 t
K-1-24 K-1-H5 2 t
K-1-26 K-1-H6 1 t
K-1-14 K-1-H3 1 t
K-1-13 K-1-H3 2 t
K-1-12 K-1-H3 3 t
K-1-11 K-1-H3 4 t
K-1-10 K-1-H3 5 t
K-1-9 K-1-H3 6 t
K-1-8 K-1-H4 4 t
K-1-7 K-1-H4 3 t
K-1-6 K-1-H4 2 t
K-1-5 K-1-H4 1 t
K-1-4 K-1-H4 1 t
K-1-3 K-1-H5 1 t
K-1-2 K-1-H5 1 t
K-1-1 K-1-H6 1 t

#2층
K-2-E1 K-2-H4 1 t
K-2-S1 K-2-H1 1 t
K-2-S3 K-2-H3 1 t
K-2-S4 K-2-H4 1 t
K-2-H1 K-2-H2 4 t
K-2-H2 K-2-H3 6 t
K-2-H3 K-2-H4 5 t

K-2-19 K-2-H1 5 t
K-2-18 K-2-H1 3 t
K-2-20_1 K-2-H1 4 t
K-2-20_2 K-2-H1 3 t
K-2-21 K-2-H1 1 t
K-2-22 K-2-H1 2 t
K-2-23 K-2-H2 3 t
K-2-24 K-2-H2 1 t
K-2-25 K-2-H2 1 t
K-2-28 K-2-H3 2 t
K-2-29 K-2-H4 1 t
K-2-30 K-2-H4 1 t
K-2-1 K-2-H4 2 t
K-2-2 K-2-H4 1 t
K-2-4 K-2-H4 2 t
K-2-5 K-2-H3 3 t
K-2-6 K-2-H3 2 t
K-2-7 K-2-H3 1 t
K-2-8 K-2-H3 1 t
K-2-9 K-2-H3 2 t
K-2-10 K-2-H3 3 t
K-2-11 K-2-H2 3 t
K-2-12 K-2-H2 2 t
K-2-13 K-2-H2 1 t
K-2-14 K-2-H2 1 t
K-2-15 K-2-H2 2 t
K-2-16 K-2-H2 3 t
K-2-17 K-2-H1 1 t

#3층
K-3-E1 K-3-H4 1 t
K-3-S1 K-3-H1 1 t
K-3-S4 K-3-H4 1 t
K-3-H1 K-3-H2 4 t
K-3-H2 K-3-H3 3 t
K-3-H3 K-3-H4 7 t

K-3-18 K-3-H1 5 t
K-3-15 K-3-H1 5 t
K-3-14 K-3-H1 4 t
K-3-13 K-3-H1 3 t
K-3-12 K-3-H1 2 t
K-3-10 K-3-H1 1 t
K-3-9 K-3-H2 2 t
K-3-8 K-3-H2 1 t
K-3-7 K-3-H3 1 t
K-3-6 K-3-H3 1 t
K-3-5_1 K-3-H3 2 t
K-3-5 K-3-H3 3 t
K-3-4 K-3-H3 4 t
K-3-3 K-3-H4 2 t
K-3-2 K-3-H4 1 t

#4층
K-4-S5 K-4-H1 1 t
K-4-S1 K-4-H2 6 t
K-4-S4 K-4-H3 15 t
K-4-H1 K-4-H2 5 t
K-4-H2 K-4-H3 1 t
K-4-X1 K-4-H3 1 t

K-4-22 K-4-H1 1 t
K-4-21 K-4-H1 3 t
K-4-20 K-4-H1 4 t
K-4-17 K-4-H2 1 t
K-4-16 K-4-H2 2 t
K-4-15 K-4-H2 3 t
K-4-14 K-4-H2 4 t
K-4-13 K-4-H2 6 t
K-4-12 K-4-H2 7 t
K-4-11 K-4-H2 8 t
K-4-10 K-4-H2 9 t
K-4-9 K-4-H3 6 t
K-4-8 K-4-H3 5 t
K-4-7 K-4-H3 4 t
K-4-6 K-4-H3 3 t
K-4-5 K-4-H3 2 t
K-4-4 K-4-H3 1 t
K-4-2_2 K-4-H3 2 t
K-4-2_1 K-4-H3 3 t
K-4-1_2 K-4-H3 4 t
K-4-1_1 K-4-H3 5 t

#5층
K-5-E1 K-5-H4 1 t
K-5-S5 K-5-H1 1 t
K-5-S1 K-5-H1 5 t
K-5-S4 K-5-H4 1 t
K-5-H1 K-5-H2 5 t
K-5-H2 K-5-H3 4 t
K-5-H3 K-5-H4 7 t


K-5-22 K-5-H1 5 t
K-5-21 K-5-H1 3 t
K-5-20 K-5-H1 2 t
K-5-19 K-5-H1 1 t
K-5-17 K-5-H1 1 t
K-5-16 K-5-H2 2 t
K-5-15 K-5-H2 1 t
K-5-14 K-5-H2 1 t
K-5-13 K-5-H2 2 t
K-5-12 K-5-H2 3 t
K-5-11 K-5-H3 1 t
K-5-10 K-5-H3 1 t
K-5-9 K-5-H3 2 t
K-5-8 K-5-H3 3 t
K-5-7 K-5-H3 4 t
K-5-6 K-5-H4 3 t
K-5-5 K-5-H4 2 t
K-5-4 K-5-H4 1 t
K-5-2 K-5-H4 3 t
K-5-1 K-5-H4 5 t

#6층
K-6-E1 K-6-H4 1 t
K-6-S5 K-6-H1 5 t
K-6-S1 K-6-H1 1 t
K-6-S4 K-6-H4 1 t
K-6-H1 K-6-H2 5 t
K-6-H2 K-6-H3 3 t
K-6-H3 K-6-H4 3 t


K-6-15 K-6-H1 5 t
K-6-14 K-6-H1 3 t
K-6-12 K-6-H1 1 t
K-6-11_1 K-6-H1 2 t
K-6-11_2 K-6-H2 1 t
K-6-10 K-6-H2 1 t
K-6-9 K-6-H3 1 t
K-6-8 K-6-H4 2 t
K-6-7 K-6-H4 1 t
K-6-5 K-6-H4 2 t
K-6-4 K-6-H4 3 t
K-6-3 K-6-H4 4 t
K-6-2 K-6-H4 5 t
K-6-1 K-6-H4 6 t

#L동 8층까지 하기로, 1층에는 출입문 1개 4층에 출입문 2개 7층에 출입문 1개
#수직적 엘리베이터 연결
L-1-E1 L-2-E1 1 t
L-2-E1 L-3-E1 1 t
L-3-E1 L-4-E1 1 t
L-4-E1 L-5-E1 1 t
L-5-E1 L-6-E1 1 t
L-6-E1 L-7-E1 1 t
L-7-E1 L-8-E1 1 t

#Floor 1
L-1-X1 L-1-H1 4 t
L-1-H1 L-1-E1 4 t
#Floor 2
L-2-E1 L-2-H1 4 t
#Floor 3
L-3-E1 L-3-H1 4 t
#Floor 4
L-4-E1 L-4-H1 4 t
L-4-X1 L-4-H1 4 t
L-4-H1 L-4-X2 4 t
#Floor 5
L-5-E1 L-5-H1 4 t
#Floor 6
L-6-E1 L-6-H1 4 t
#Floor 7
L-7-E1 L-7-H1 4 t
L-7-H1 L-7-X1 8 t
#Floor 8
L-8-E1 L-8-H1 4 t

# Building P

# 수직적 엘베끼리 연결
P-1-E1 P-2-E1 10 t
P-2-E1 P-3-E1 10 t
#지하 2층
P-B2-S1 P-B1-S1 15
P-B1-S1 P-B2-S1 10
P-B2-S2 P-B1-S2 15
P-B1-S2 P-B2-S2 10
P-B2-S3 P-B1-S3 15
P-B1-S3 P-B2-SE 10
P-B2-S1 P-B2-H1 6 t
P-B2-S2 P-B2-H1 6 t
P-B2-S3 P-B2-H1 6 t
P-B2-H1 P-B2-1 4 t
P-B2-H1 P-B2-2 6 t
P-B2-H1 P-B2-3 4 t
P-B2-H1 P-B2-4 2 t
P-B2-H1 P-B2-5 2 t
P-B2-H1 P-B2-6 4 t
#지하 1층
P-B1-S1 P-1-S1 15
P-B1-S2 P-1-S2 15
P-B1-S3 P-1-S3 15
P-1-S1 P-B1-S1 10
P-1-S2 P-B1-S2 10
P-1-S3 P-B1-S3 10
P-B1-S1 P-B1-H1 6 t
P-B1-S2 P-B1-H1 6 t
P-B1-S3 P-B1-H1 6 t
P-B1-H1 P-B1-1 4 t
P-B1-H1 P-B1-2 2 t
P-B1-H1 P-B1-3 2 t
P-B1-H1 P-B1-4 4 t
P-B1-H1 P-B1-7 8 t
P-B1-H1 P-B1-8 6 t
P-B1-H1 P-B1-9 4 t
P-B1-H1 P-B1-10 3 t
P-B1-H1 P-B1-11 2 t
P-B1-H1 P-B1-12 2 t
P-B1-H1 P-B1-13 4 t
#1층
P-1-S1 P-2-S1 15
P-1-S2 P-2-S2 15
P-2-S1 P-1-S1 10
P-2-S2 P-1-S2 10
P-1-H1 P-1-1 4 t
P-1-H1 P-1-2 2 t
P-1-H1 P-1-3 2 t
P-1-H1 P-1-4 4 t
P-1-H1 P-1-7 8 t
P-1-H1 P-1-8 6 t
P-1-H1 P-1-9 4 t
P-1-H1 P-1-10 2 t
P-1-H1 P-1-11 4 t
P-1-E1 P-1-S1 4 t
P-1-S1 P-1-X1 2 t
P-1-S1 P-1-H1 4 t
P-1-H1 P-1-S2 4 t
P-1-S2 P-1-X2 4 t
P-1-S2 P-1-S3 3 t
#2층
P-2-S1 P-3-S1 15
P-2-S2 P-3-S2 15
P-3-S1 P-2-S1 10
P-3-S2 P-2-S2 10
P-2-H1 P-2-1 4 t
P-2-H1 P-2-2 2 t
P-2-H1 P-2-3 2 t
P-2-H1 P-2-4 4 t
P-2-H1 P-2-7 6 t
P-2-H1 P-2-8 6 t
P-2-H1 P-2-9 4 t
P-2-H1 P-2-10 2 t
P-2-H1 P-2-11 4 t
P-2-E1 P-2-S1 4 t
P-2-S1 P-2-H1 4 t
P-2-H1 P-2-S2 4 t
#3층
P-3-S1 P-4-S1 15
P-3-S2 P-4-S2 15
P-4-S1 P-3-S1 10
P-4-S2 P-3-S2 10
P-3-H1 P-3-1 4 t
P-3-H1 P-3-2 2 t
P-3-H1 P-3-3 2 t
P-3-H1 P-3-4 4 t
P-3-H1 P-3-5 4 t
P-3-H1 P-3-6 4 t
P-3-H1 P-3-9 5 t
P-3-H1 P-3-10 5 t
P-3-H1 P-3-11 4 t
P-3-H1 P-3-12 3 t
P-3-H1 P-3-13 2 t
P-3-H1 P-3-14 4 t
P-3-E1 P-3-S1 4 t
P-3-S1 P-3-H1 4 t
P-3-H1 P-3-S2 4 t
P-3-X1 P-3-E1 2 t
P-3-X1 P-3-H1 7 t
#4층
P-4-S1 P-5-S1 15
P-4-S2 P-5-S2 15
P-5-S1 P-4-S1 10
P-5-S2 P-4-S2 10
P-4-H1 P-4-1 4 t
P-4-H1 P-4-2 3 t
P-4-H1 P-4-3 2 t
P-4-H1 P-4-4 3 t
P-4-H1 P-4-5 4 t
P-4-H1 P-4-6 4 t
P-4-H1 P-4-9 6 t
P-4-H1 P-4-10 5 t
P-4-H1 P-4-11 4 t
P-4-H1 P-4-12 3 t
P-4-H1 P-4-13 2 t
P-4-H1 P-4-14 2 t
P-4-H1 P-4-15 2 t
P-4-H1 P-4-16 2 t
P-4-H1 P-4-17 3 t
P-4-H1 P-4-18 4 t
P-4-H1 P-4-19 4 t
P-4-H1 P-4-20 5 t
P-4-S1 P-4-H1 6 t
P-4-H1 P-4-S2 6 t
#5층
P-5-S1 P-6-S1 15
P-5-S2 P-6-S2 15
P-6-S1 P-5-S1 10
P-6-S2 P-5-S2 10
P-5-H1 P-5-1 4 t
P-5-H1 P-5-2 3 t
P-5-H1 P-5-3 2 t
P-5-H1 P-5-4 3 t
P-5-H1 P-5-5 3 t
P-5-H1 P-5-6 4 t
P-5-H1 P-5-7 5 t
P-5-H1 P-5-8 6 t
P-5-H1 P-5-11 7 t
P-5-H1 P-5-12 6 t
P-5-H1 P-5-13 5 t
P-5-H1 P-5-14 4 t
P-5-H1 P-5-15 3 t
P-5-H1 P-5-16 2 t
P-5-H1 P-5-17 2 t
P-5-H1 P-5-18 3 t
P-5-H1 P-5-19 3 t
P-5-H1 P-5-20 4 t
P-5-S1 P-5-H1 6 t
P-5-H1 P-5-S2 6 t
P-5-X1 P-5-H1 6 t
P-5-X1 P-5-S1 2 t
#6층
P-6-S1 P-7-S1 15
P-6-S2 P-7-S2 15
P-7-S1 P-6-S1 10
P-7-S2 P-6-S2 10
P-6-H1 P-6-1 4 t
P-6-H1 P-6-2 3 t
P-6-H1 P-6-3 2 t
P-6-H1 P-6-4 3 t
P-6-H1 P-6-5 3 t
P-6-H1 P-6-6 4 t
P-6-H1 P-6-7 5 t
P-6-H1 P-6-8 6 t
P-6-H1 P-6-11 7 t
P-6-H1 P-6-12 6 t
P-6-H1 P-6-13 5 t
P-6-H1 P-6-14 4 t
P-6-H1 P-6-15 3 t
P-6-H1 P-6-16 2 t
P-6-H1 P-6-17 2 t
P-6-H1 P-6-18 3 t
P-6-H1 P-6-19 3 t
P-6-S1 P-6-H1 6 t
P-6-H1 P-6-S2 6 t
P-6-X1 P-6-H1 6 t
P-6-X1 P-6-S1 2 t
#7층
P-7-S1 P-8-S1 15
P-7-S2 P-8-S2 15
P-8-S1 P-7-S1 10
P-8-S2 P-7-S2 10
P-7-H1 P-7-1 4 t
P-7-H1 P-7-2 3 t
P-7-H1 P-7-3 2 t
P-7-H1 P-7-4 2 t
P-7-H1 P-7-5 3 t
P-7-H1 P-7-6 3 t
P-7-H1 P-7-7 4 t
P-7-H1 P-7-8 5 t
P-7-H1 P-7-11 7 t
P-7-H1 P-7-12 6 t
P-7-H1 P-7-13 5 t
P-7-H1 P-7-14 4 t
P-7-H1 P-7-15 3 t
P-7-H1 P-7-16 2 t
P-7-H1 P-7-17 2 t
P-7-H1 P-7-18 3 t
P-7-H1 P-7-19 3 t
P-7-H1 P-7-20 4 t
P-7-H1 P-7-21 5 t
P-7-S1 P-7-H1 6 t
P-7-H1 P-7-S2 6 t
P-7-X1 P-7-H1 6 t
P-7-X1 P-7-S1 2 t
#8층
P-8-H1 P-8-1 4 t
P-8-H1 P-8-2 3 t
P-8-H1 P-8-3 2 t
P-8-H1 P-8-4 2 t
P-8-H1 P-8-5 2 t
P-8-H1 P-8-6 3 t
P-8-H1 P-8-7 4 t
P-8-H1 P-8-8 5 t
P-8-H1 P-8-11 7 t
P-8-H1 P-8-12 6 t
P-8-H1 P-8-13 5 t
P-8-H1 P-8-14 4 t
P-8-H1 P-8-15 3 t
P-8-H1 P-8-16 2 t
P-8-H1 P-8-17 2 t
P-8-H1 P-8-18 3 t
P-8-H1 P-8-19 3 t
P-8-H1 P-8-20 4 t
P-8-H1 P-8-21 4 t
P-8-S1 P-8-H1 6 t
P-8-H1 P-8-S2 6 t
P-8-X1 P-8-H1 6 t
P-8-X1 P-8-S1 2 t


# Building R
#floorB1
R-B1-E1 R-1-E1 10 t
R-B1-E2 R-1-E2 10 t
R-B1-E3 R-1-E3 10 t
R-B1-E4 R-1-E4 10 t
R-B1-E5 R-1-E5 10 t
R-B1-E6 R-1-E6 10 t

R-B1-S1 R-1-S1 15
R-B1-S2 R-1-S2 15
R-B1-S3 R-1-S3 15
R-B1-S4 R-1-S4 15


R-B1-E1 R-B1-H3 1 t
R-B1-E2 R-B1-H3 1 t
R-B1-E3 R-B1-H3 1 t
R-B1-E4 R-B1-H6 1 t
R-B1-E5 R-B1-H6 1 t
R-B1-E6 R-B1-H6 1 t
R-B1-S1 R-B1-H1 1 t
R-B1-S2 R-B1-H4 1 t
R-B1-S3 R-B1-H6 1 t
R-B1-H1 R-B1-H2 1 t
R-B1-H2 R-B1-H3 1 t
R-B1-H3 R-B1-H4 2 t
R-B1-H4 R-B1-H5 1 t
R-B1-H5 R-B1-H6 1 t
R-B1-H5 R-B1-1 4 t
R-B1-x1 R-B1-H2 1 t
R-B1-x2 R-B1-H2 1 t



R-B1-1 R-B1-H5 4 t
R-B1-2 R-B1-H6 1 t




#floor1
R-1-E1 R-2-E1 10 t
R-1-E2 R-2-E2 10 t
R-1-E3 R-2-E3 10 t
R-1-E4 R-2-E4 10 t
R-1-E5 R-2-E5 10 t
R-1-E6 R-2-E6 10 t

R-1-S1 R-2-S1 15
R-1-S2 R-2-S2 15
R-1-S3 R-2-S3 15
R-1-S4 R-2-S4 15

R-1-S1 R-B1-S1 10
R-1-S2 R-B1-S2 10
R-1-S3 R-B1-S3 10
R-1-S4 R-B1-S4 10


R-1-E1 R-1-H1 1 t
R-1-E2 R-1-H1 1 t
R-1-E3 R-1-H1 1 t
R-1-E4 R-1-H6 1 t
R-1-E5 R-1-H6 1 t
R-1-E6 R-1-H6 1 t
R-1-S1 R-1-H1 1 t
R-1-S2 R-1-H4 1 t
R-1-S3 R-1-H6 1 t
R-1-H1 R-1-H2 1 t
R-1-H2 R-1-H3 1 t
R-1-H3 R-1-H4 3 t
R-1-H4 R-1-H5 1 t
R-1-H5 R-1-H6 1 t
R-1-X1 R-1-H2 1 t
R-1-X2 R-1-H5 1 t



R-1-1 R-1-H3 3 t
R-1-2 R-1-H1 3 t
R-1-3 R-1-H1 1 t






#floor2
R-2-E1 R-3-E1 10 t
R-2-E2 R-3-E2 10 t
R-2-E3 R-3-E3 10 t
R-2-E4 R-3-E4 10 t
R-2-E5 R-3-E5 10 t
R-2-E6 R-3-E6 10 t

R-2-S1 R-3-S1 15
R-2-S2 R-3-S2 15
R-2-S3 R-3-S3 15



R-2-S1 R-1-S1 10
R-2-S2 R-1-S2 10
R-2-S3 R-1-S3 10
R-2-S4 R-1-S4 10


R-2-E1 R-2-H3 1 t
R-2-E2 R-2-H3 1 t
R-2-E3 R-2-H3 1 t
R-2-E4 R-2-H6 1 t
R-2-E5 R-2-H6 1 t
R-2-E6 R-2-H6 1 t
R-2-S1 R-2-H1 1 t
R-2-S2 R-2-H6 1 t
R-2-S3 R-2-H6 1 t
R-2-S4 R-2-H4 1 t
R-2-H1 R-2-H2 1 t
R-2-H2 R-2-H3 1 t
R-2-H3 R-2-H4 3 t
